Title,URL,Date,Excerpt,Source,City,Is Theft Related,Is Business Related,Keywords
"9 arrested, accused in smash-and-grab jewelry heist at Fort Worth grocery, police say",https://www.nbcdfw.com/news/local/fort-worth-police-arrest-suspects-in-smash-and-grab-robbery/3771696/,2025-03-28,"Fort Worth Police said nine people including a 16-year-old, were arrested in connection to a smash-and-grab last Sunday. Detectives from other cities are investigating if the group is connected to similar crimes in Dallas and Houston.",NBC DFW,McKinney,True,False,"smash-and-grab, heist"
Police arrest nine people in connection with smash-and-grab robbery,https://www.nbcdfw.com/news/local/police-arrest-nine-people-in-connection-with-smash-and-grab-robbery/3771733/,2025-03-28,"Police say nine people, including a juvenile, were arrested in connection with a smash-and-grab robbery inside a Fort Worth grocery store. NBC 5’s Sophia Beausoleil reports investigators want to know if they group are tied to similar crimes across North Texas and Houston.",NBC DFW,McKinney,True,True,"robbery, smash-and-grab, store"
3 women arrested in $20k organized retail theft scheme at a Plano Burlington,https://news/organized-retail-theft-scheme-plano-burlington,"February 10, 2025 1:03pm CST",,Fox 4 News,Plano,True,True,"theft, retail"
Plano police chase suspect in stolen SUV on Hwy. 75,https://news/plano-police-chase-suspect-stolen-suv-hwy-75,"February 10, 2025 11:41am CST",,Fox 4 News,Plano,True,False,stolen
"Jeweler, his pregnant wife, and daughter experience home invasion robbery",https://jewelerssecurity.org/jeweler-his-pregnant-wife-and-daughter-experience-home-invasion-robbery/,,"Miami-Dade County, FL – March 17, 2025 – A jeweler with a large following on social media believes it may...",Jewelers Security Alliance,Las Vegas,True,False,robbery
"Las Vegas, NV- Felon sentenced to 26 years in prison for Las Vegas armed robberies, assault of federal officer.",https://jewelerssecurity.org/las-vegas-nv-felon-sentenced-to-26-years-in-prison-for-las-vegas-armed-robberies-assault-of-federal-officer/,,"Las Vegas, NV– A Las Vegas man who has prior felony convictions was sentenced Monday in two separate cases involving...",Jewelers Security Alliance,Las Vegas,True,False,robberies
"Jeweler, his pregnant wife, and daughter experience home invasion robbery",https://jewelerssecurity.org/,,"Jeweler, his pregnant wife, and daughter experience home invasion robberyContinue Reading",Jewelers Security Alliance,Las Vegas,True,False,robbery
"Las Vegas, NV- Felon sentenced to 26 years in prison for Las Vegas armed robberies, assault of federal officer.",https://jewelerssecurity.org/,,"Las Vegas, NV- Felon sentenced to 26 years in prison for Las Vegas armed robberies, assault of federal officer.Continue Reading",Jewelers Security Alliance,Las Vegas,True,False,robberies
"$50,000 reward offered for arrest and conviction in $1 million Halloween robbery",https://jewelerssecurity.org/50000-reward-offered-for-arrest-and-conviction-in-1-million-halloween-robbery/,,"Maui, HI – On October 31, 2019, at approximately 12:15...",Jewelers Security Alliance,Las Vegas,True,False,robbery
"Downey, California -3 Arrested in connection with armed robbery, kidnapping at Downey jewelry store.",https://jewelerssecurity.org/downey-california-update-3-arrested-in-connection-with-armed-robbery-kidnapping-at-downey-jewelry-store/,,"Downey, California– Three men have been arrested in connection with a January armed robbery and kidnapping at a Downey jewelry...",Jewelers Security Alliance,California,True,True,"robbery, store"
"SOUTH SACRAMENTO, CA- 4 suspects arrested in South Sacramento jewelry store robbery where woman was shot, killed.",https://jewelerssecurity.org/sacramento-ca-4-suspects-arrested-in-south-sacramento-jewelry-store-robbery-where-woman-was-shot-killed/,,"SOUTH SACRAMENTO, CA – Four suspects have been arrested in connection to a robbery at a jewelry store in south...",Jewelers Security Alliance,California,True,True,"robbery, store"
