Source URL,Source Title,Analyzed At,Business Name,Address,City,State,ZIP,Location Details,Incident Date,Incident Time,Entry Method,Items Stolen,Estimated Value,Failed Security,Store Type,Lead Quality Score,Reasoning
https://www.nbcdfw.com/news/local/fort-worth-police-arrest-suspects-in-smash-and-grab-robbery/3771696/,"9 arrested, accused in smash-and-grab jewelry heist at Fort Worth grocery, police say",2025-03-29T12:14:54.287505,Joyeria Princesa,El Rancho Supermercado,Fort Worth,TX,unknown,Inside El Rancho Supermercado grocery store,2025-02-09,around 5:00 PM,Smash-and-grab,Gold jewelry from display cases,"$100,000","Pepper spray used to incapacitate employees, display cases smashed",Jewelry store inside a grocery store,8,"This appears to be a high-value target with a significant amount of jewelry stolen, in an upscale grocery store location. The failed security measures and potential connection to other similar crimes in the Dallas and Houston areas make this a very promising lead for the security company to follow up on."
https://news/organized-retail-theft-scheme-plano-burlington,3 women arrested in $20k organized retail theft scheme at a Plano Burlington,2025-03-29T12:14:54.947769,unknown,Plano Burlington,Plano,unknown,unknown,"Plano, Texas","February 10, 2025",1:03pm CST,unknown,unknown,"$20,000",unknown,retail chain store,6,"The incident occurred at a Burlington store in Plano, Texas, which indicates a retail chain store location. The thieves were able to steal around $20,000 worth of goods, suggesting a decent amount of high-value inventory. However, the article does not provide details on the specific security measures in place or how the thieves gained entry, so the lead quality score is moderate. More information on the store's security and the exact items stolen would be needed to assess the lead quality further."
https://news/plano-police-chase-suspect-stolen-suv-hwy-75,Plano police chase suspect in stolen SUV on Hwy. 75,2025-03-29T12:14:54.984632,unknown,"Highway 75, Plano",Plano,unknown,unknown,Highway 75,"February 10, 2025",11:41am CST,unknown,unknown,unknown,unknown,unknown,2,"The article does not provide any details about a jewelry store break-in or theft. It only mentions a police chase of a suspect in a stolen SUV on Highway 75 in Plano. Without any information about a specific jewelry store incident, the lead quality score is low."
https://www.nbcdfw.com/news/local/police-arrest-nine-people-in-connection-with-smash-and-grab-robbery/3771733/,Police arrest nine people in connection with smash-and-grab robbery,2025-03-29T12:14:56.317098,unknown,1900 block of North Central Expressway,McKinney,TX,unknown,near the Eldorado Parkway intersection,2025-03-28,unknown,smash-and-grab robbery,unknown,unknown,unknown,unknown,7,"The article mentions a smash-and-grab robbery at a jewelry store location on the 1900 block of North Central Expressway in McKinney, TX. While the specific business name is not provided, the location details suggest this was likely an upscale jewelry store in a high-traffic area. The smash-and-grab method indicates the store's security measures may have been inadequate, presenting an opportunity for improvement. Without more details on the value of stolen items or the store type, I've assigned a lead quality score of 7, as this seems like a promising lead for a security company to follow up on and potentially implement solutions at multiple locations."
https://jewelerssecurity.org/jeweler-his-pregnant-wife-and-daughter-experience-home-invasion-robbery/,"Jeweler, his pregnant wife, and daughter experience home invasion robbery",2025-03-29T12:14:56.977557,unknown,"unknown, Las Vegas",Las Vegas,unknown,unknown,unknown,unknown,unknown,home invasion robbery,unknown,unknown,unknown,unknown,5,"The incident was a home invasion robbery targeting a jeweler, which suggests the potential for high-value inventory. However, the lack of details about the specific jewelry store, its location, and security measures makes it difficult to fully assess the lead quality. More information would be needed to determine if this is a high-priority target for the security company."
https://jewelerssecurity.org/las-vegas-nv-felon-sentenced-to-26-years-in-prison-for-las-vegas-armed-robberies-assault-of-federal-officer/,"Las Vegas, NV- Felon sentenced to 26 years in prison for Las Vegas armed robberies, assault of federal officer.",2025-03-29T12:14:57.263056,unknown,"unknown, Las Vegas",Las Vegas,NV,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3,"The article does not provide any specific details about a jewelry store break-in or robbery. It mentions that a felon was sentenced for armed robberies in Las Vegas, but does not give any details about a specific jewelry store incident. Without more information about a targeted jewelry store, the lead quality score is low."
https://jewelerssecurity.org/,"Jeweler, his pregnant wife, and daughter experience home invasion robbery",2025-03-29T12:14:58.211515,unknown,"unknown, Las Vegas",Las Vegas,unknown,unknown,unknown,unknown,unknown,home invasion robbery,unknown,unknown,home security,unknown,5,"The incident was a home invasion robbery targeting a jeweler and his family, rather than a direct attack on a jewelry store. While the jeweler's profession suggests potential for high-value inventory, the lack of details about the store itself and the location makes it difficult to assess the lead quality. The failed home security measures indicate some security vulnerabilities, but without more information about the jeweler's business, the lead quality score is moderate."
https://jewelerssecurity.org/,"Las Vegas, NV- Felon sentenced to 26 years in prison for Las Vegas armed robberies, assault of federal officer.",2025-03-29T12:14:58.750614,unknown,"unknown, Las Vegas",Las Vegas,NV,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,5,"The article does not provide any specific details about a jewelry store break-in or robbery. It only mentions that a felon was sentenced to 26 years in prison for armed robberies and assaulting a federal officer in Las Vegas. Without any details about a specific jewelry store incident, I cannot confidently assign a higher lead quality score."
https://jewelerssecurity.org/50000-reward-offered-for-arrest-and-conviction-in-1-million-halloween-robbery/,"$50,000 reward offered for arrest and conviction in $1 million Halloween robbery",2025-03-29T12:14:59.761157,unknown,"unknown, Las Vegas",Las Vegas,unknown,unknown,unknown,"October 31, 2019",approximately 12:15,unknown,jewelry,$1 million,unknown,unknown,8,"The incident involved a large-scale jewelry heist of over $1 million, indicating a high-value target. While the specific location details are not provided, the fact that it occurred in Las Vegas suggests an upscale, potentially high-end jewelry store. The significant value of the stolen items and lack of details on the security measures point to potential vulnerabilities that could be addressed. Additionally, as this was a single incident, any security solutions implemented could potentially be applied to other jewelry stores in the Las Vegas area, making this a valuable lead for the security company."
https://jewelerssecurity.org/downey-california-update-3-arrested-in-connection-with-armed-robbery-kidnapping-at-downey-jewelry-store/,"Downey, California -3 Arrested in connection with armed robbery, kidnapping at Downey jewelry store.",2025-03-29T12:15:00.045649,Downey jewelry store,"unknown, California",Downey,California,unknown,unknown,January,unknown,armed robbery,unknown,unknown,unknown,unknown,7,"The incident occurred at a jewelry store in Downey, California, which suggests a high-value inventory. The method of entry was an armed robbery, indicating a lack of effective security measures. However, the specific location details and store type are unknown, so the lead quality score is not as high as it could be with more information."
